id,date,store,item,Sales
0,1/1/2018,1,1,13
1,1/2/2018,1,1,14
2,1/3/2018,1,1,15
3,1/4/2018,1,1,16
4,1/5/2018,1,1,17
5,1/6/2018,1,1,18
6,1/7/2018,1,1,19
7,1/8/2018,1,1,20
8,1/9/2018,1,1,21
9,1/10/2018,1,1,22
10,1/11/2018,1,1,23
11,1/12/2018,1,1,24
12,1/13/2018,1,1,25
13,1/14/2018,1,1,26
14,1/15/2018,1,1,27
15,1/16/2018,1,1,28
16,1/17/2018,1,1,29
17,1/18/2018,1,1,30
18,1/19/2018,1,1,31
19,1/20/2018,1,1,32
20,1/21/2018,1,1,33
21,1/22/2018,1,1,34
22,1/23/2018,1,1,35
23,1/24/2018,1,1,36
24,1/25/2018,1,1,37
25,1/26/2018,1,1,38
26,1/27/2018,1,1,39
27,1/28/2018,1,1,40
28,1/29/2018,1,1,41
29,1/30/2018,1,1,42
30,1/31/2018,1,1,43
31,2/1/2018,1,1,44
32,2/2/2018,1,1,45
33,2/3/2018,1,1,46
34,2/4/2018,1,1,47
35,2/5/2018,1,1,48
36,2/6/2018,1,1,49
37,2/7/2018,1,1,50
38,2/8/2018,1,1,51
39,2/9/2018,1,1,52
40,2/10/2018,1,1,53
41,2/11/2018,1,1,54
42,2/12/2018,1,1,55
43,2/13/2018,1,1,56
44,2/14/2018,1,1,57
45,2/15/2018,1,1,58
46,2/16/2018,1,1,59
47,2/17/2018,1,1,60
48,2/18/2018,1,1,61
49,2/19/2018,1,1,62
50,2/20/2018,1,1,63
51,2/21/2018,1,1,64
52,2/22/2018,1,1,65
53,2/23/2018,1,1,66
54,2/24/2018,1,1,67
55,2/25/2018,1,1,68
56,2/26/2018,1,1,69
57,2/27/2018,1,1,70
58,2/28/2018,1,1,71
59,3/1/2018,1,1,72
60,3/2/2018,1,1,73
61,3/3/2018,1,1,74
62,3/4/2018,1,1,75
63,3/5/2018,1,1,76
64,3/6/2018,1,1,77
65,3/7/2018,1,1,78
66,3/8/2018,1,1,79
67,3/9/2018,1,1,80
68,3/10/2018,1,1,81
69,3/11/2018,1,1,82
70,3/12/2018,1,1,83
71,3/13/2018,1,1,84
72,3/14/2018,1,1,85
73,3/15/2018,1,1,86
74,3/16/2018,1,1,87
75,3/17/2018,1,1,88
76,3/18/2018,1,1,89
77,3/19/2018,1,1,90
78,3/20/2018,1,1,91
79,3/21/2018,1,1,92
80,3/22/2018,1,1,93
81,3/23/2018,1,1,94
82,3/24/2018,1,1,95
83,3/25/2018,1,1,96
84,3/26/2018,1,1,97
85,3/27/2018,1,1,98
86,3/28/2018,1,1,13
87,3/29/2018,1,1,14
88,3/30/2018,1,1,15
89,3/31/2018,1,1,16
90,1/1/2018,2,1,17
91,1/2/2018,2,1,18
92,1/3/2018,2,1,19
93,1/4/2018,2,1,20
94,1/5/2018,2,1,21
95,1/6/2018,2,1,22
96,1/7/2018,2,1,23
97,1/8/2018,2,1,24
98,1/9/2018,2,1,25
99,1/10/2018,2,1,26
100,1/11/2018,2,1,27
101,1/12/2018,2,1,28
102,1/13/2018,2,1,29
103,1/14/2018,2,1,30
104,1/15/2018,2,1,31
105,1/16/2018,2,1,32
106,1/17/2018,2,1,33
107,1/18/2018,2,1,34
108,1/19/2018,2,1,35
109,1/20/2018,2,1,36
110,1/21/2018,2,1,37
111,1/22/2018,2,1,38
112,1/23/2018,2,1,39
113,1/24/2018,2,1,40
114,1/25/2018,2,1,41
115,1/26/2018,2,1,42
116,1/27/2018,2,1,43
117,1/28/2018,2,1,44
118,1/29/2018,2,1,45
119,1/30/2018,2,1,46
120,1/31/2018,2,1,47
121,2/1/2018,2,1,48
122,2/2/2018,2,1,49
123,2/3/2018,2,1,50
124,2/4/2018,2,1,51
125,2/5/2018,2,1,52
126,2/6/2018,2,1,53
127,2/7/2018,2,1,54
128,2/8/2018,2,1,55
129,2/9/2018,2,1,56
130,2/10/2018,2,1,57
131,2/11/2018,2,1,58
132,2/12/2018,2,1,59
133,2/13/2018,2,1,60
134,2/14/2018,2,1,61
135,2/15/2018,2,1,62
136,2/16/2018,2,1,63
137,2/17/2018,2,1,64
138,2/18/2018,2,1,65
139,2/19/2018,2,1,66
140,2/20/2018,2,1,67
141,2/21/2018,2,1,68
142,2/22/2018,2,1,69
143,2/23/2018,2,1,70
144,2/24/2018,2,1,71
145,2/25/2018,2,1,72
146,2/26/2018,2,1,73
147,2/27/2018,2,1,74
148,2/28/2018,2,1,75
149,3/1/2018,2,1,76
150,3/2/2018,2,1,77
151,3/3/2018,2,1,78
152,3/4/2018,2,1,79
153,3/5/2018,2,1,80
154,3/6/2018,2,1,81
155,3/7/2018,2,1,82
156,3/8/2018,2,1,83
157,3/9/2018,2,1,84
158,3/10/2018,2,1,85
159,3/11/2018,2,1,86
160,3/12/2018,2,1,87
161,3/13/2018,2,1,88
162,3/14/2018,2,1,89
163,3/15/2018,2,1,90
164,3/16/2018,2,1,91
165,3/17/2018,2,1,92
166,3/18/2018,2,1,93
167,3/19/2018,2,1,94
168,3/20/2018,2,1,95
169,3/21/2018,2,1,96
170,3/22/2018,2,1,97
171,3/23/2018,2,1,98
172,3/24/2018,2,1,13
173,3/25/2018,2,1,14
174,3/26/2018,2,1,15
175,3/27/2018,2,1,16
176,3/28/2018,2,1,17
177,3/29/2018,2,1,18
178,3/30/2018,2,1,19
179,3/31/2018,2,1,20
180,1/1/2018,3,1,21
181,1/2/2018,3,1,22
182,1/3/2018,3,1,23
183,1/4/2018,3,1,24
184,1/5/2018,3,1,25
185,1/6/2018,3,1,26
186,1/7/2018,3,1,27
187,1/8/2018,3,1,28
188,1/9/2018,3,1,29
189,1/10/2018,3,1,30
190,1/11/2018,3,1,31
191,1/12/2018,3,1,32
192,1/13/2018,3,1,33
193,1/14/2018,3,1,34
194,1/15/2018,3,1,35
195,1/16/2018,3,1,36
